t t ref_freq ref_freq electric_frequency electric_frequency hall_freq hall_freq isA isA isB isB isC isC isD isD isQ isQ VsD VsD VsQ VsQ Vs Vs Vs_cita Vs_cita Vs_cita_relative Vs_cita_relative psisD psisD psisQ psisQ psis psis psis_alpha psis_alpha psis_ref psis_ref te te Ud Ud pi_control pi_control pi_max pi_max
t 16777216.00 ref_freq 0.00 electric_frequency -0.03 hall_freq 0.00 isA -5.92 isB -5.83 isC 11.75 isD -5.92 isQ -10.15 VsD -0.80 VsQ -1.42 Vs 1.62 Vs_cita 240.70 Vs_cita_relative 240.70 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.03 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.03 hall_freq 0.00 isA -5.92 isB -5.83 isC 11.75 isD -5.92 isQ -10.15 VsD -0.80 VsQ -1.42 Vs 1.62 Vs_cita 240.70 Vs_cita_relative 240.70 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.03 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.20 hall_freq 0.00 isA -6.05 isB -6.04 isC 12.10 isD -6.05 isQ -10.47 VsD -0.85 VsQ -1.53 Vs 1.65 Vs_cita 241.68 Vs_cita_relative 241.68 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.09 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.30 hall_freq 0.00 isA -5.84 isB -6.09 isC 11.93 isD -5.84 isQ -10.40 VsD 25.00 VsQ -1.48 Vs 1.67 Vs_cita 240.66 Vs_cita_relative 240.66 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te 25.00 Ud 4.08 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.01 hall_freq 0.00 isA -5.98 isB -5.93 isC 11.91 isD -5.98 isQ 25.00 VsD -0.81 VsQ -1.44 Vs 1.65 Vs_cita 240.62 Vs_cita_relative 240.62 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.13 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.03 hall_freq 0.00 isA -6.01 isB -5.92 isC 11.93 isD -6.01 isQ -10.30 VsD -0.81 VsQ -1.44 Vs 1.64 Vs_cita 240.52 Vs_cita_relative 240.52 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.12 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.03 hall_freq 0.00 isA -6.05 isB -6.02 isC 12.06 isD -6.05 isQ -10.44 VsD -0.83 VsQ -1.49 Vs 1.63 Vs_cita 240.53 Vs_cita_relative 240.53 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.09 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.00 hall_freq 0.00 isA -6.03 isB -5.96 isC 12.00 isD -6.03 isQ -10.37 VsD -0.85 VsQ -1.51 Vs 25.00 Vs_cita 240.62 Vs_cita_relative 240.62 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.08 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.28 hall_freq 0.00 isA -6.04 isB -6.02 isC 12.06 isD -6.04 isQ -10.43 VsD -0.84 VsQ 25.00 Vs 1.65 Vs_cita 241.91 Vs_cita_relative 241.91 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.11 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.02 hall_freq 0.00 isA -5.96 isB -5.87 isC 11.84 isD -5.96 isQ -10.22 VsD -0.80 VsQ -1.42 Vs 1.65 Vs_cita 240.53 Vs_cita_relative 240.53 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.02 pi_control 25.00 pi_max 0.01
